accident_id,city,state,date,time,hour,day,month,year,day_of_week,is_weekend,peak_hour_indicator,festival_indicator,festival_impact,weather_condition,weather_severity,temperature,visibility,road_type,num_lanes,light_conditions,road_surface,traffic_density,latitude,longitude,urban_or_rural,speed_limit,congestion_level
ACC000001,Pune,Pune,2024-12-31,15:21,15,31,12,2024,1,0,0,0,0.0,Clear,0.1,29.4,10.0,Highway,1,Daylight,Muddy,48.74,18.609363,73.76173,Rural,40,Low
ACC000002,Lucknow,Lucknow,2022-07-09,05:01,5,9,7,2022,5,1,0,0,0.0,Rain,0.7,15.4,5.96,Urban,6,Dusk/Dawn,Muddy,89.48,26.7107,81.088327,Urban,80,Medium
ACC000003,Pune,Pune,2022-02-04,20:56,20,4,2,2022,4,0,1,0,0.0,Clear,0.1,41.9,10.0,Rural,2,Dark - lit,Muddy,57.84,18.553399,73.956658,Rural,100,Medium
ACC000004,Chennai,Chennai,2022-07-07,14:07,14,7,7,2022,3,0,0,0,0.0,Clear,0.1,24.4,9.16,Expressway,1,Dusk/Dawn,Wet,79.44,13.108725,80.410277,Rural,40,Low
ACC000005,Pune,Pune,2022-04-09,15:31,15,9,4,2022,5,1,0,0,0.0,Clear,0.1,23.3,9.57,Urban,2,Dark - unlit,Dry,31.73,18.463695,73.804255,Urban,80,Medium
ACC000006,Chennai,Chennai,2025-04-09,08:10,8,9,4,2025,2,0,1,0,0.0,Haze,0.4,30.9,8.59,Urban,3,Dusk/Dawn,Wet,90.31,13.007488,80.243815,Urban,80,High
ACC000007,Jaipur,Jaipur,2025-07-30,12:31,12,30,7,2025,2,0,0,0,0.0,Fog,0.6,14.7,6.02,Expressway,1,Dusk/Dawn,Dry,60.31,26.857801,75.670316,Rural,80,Medium
ACC000008,Hyderabad,Hyderabad,2025-02-10,07:05,7,10,2,2025,0,0,1,0,0.0,Haze,0.4,27.6,7.12,Urban,6,Dusk/Dawn,Icy,50.64,17.309063,78.545591,Urban,80,High
ACC000009,Pune,Pune,2024-02-06,19:35,19,6,2,2024,1,0,1,0,0.0,Cloudy,0.3,30.6,9.09,Suburban,2,Dark - unlit,Wet,97.12,18.598886,73.777991,Urban,60,High
ACC000010,Pune,Pune,2023-07-05,21:47,21,5,7,2023,2,0,0,0,0.0,Clear,0.1,33.5,9.63,Urban,2,Dark - lit,Muddy,11.38,18.42271,73.913981,Urban,100,Medium
ACC000011,Chennai,Chennai,2025-06-10,10:53,10,10,6,2025,1,0,1,0,0.0,Rain,0.7,26.1,7.75,Expressway,4,Dark - unlit,Muddy,95.62,13.197491,80.177312,Rural,100,High
ACC000012,Mumbai,Mumbai,2025-03-04,17:20,17,4,3,2025,1,0,1,0,0.0,Clear,0.1,23.2,5.36,Urban,3,Dark - lit,Dry,86.42,19.074168,72.781347,Urban,80,High
ACC000013,Nagpur,Nagpur,2024-03-26,09:20,9,26,3,2024,1,0,1,0,0.0,Clear,0.1,26.9,9.43,Rural,2,Dusk/Dawn,Icy,80.82,21.143555,78.996773,Rural,40,Medium
ACC000014,Jaipur,Jaipur,2025-09-08,15:47,15,8,9,2025,0,0,0,0,0.0,Clear,0.1,25.4,8.12,Rural,6,Dark - unlit,Dry,15.99,26.880807,75.890564,Rural,50,Low
ACC000015,Pune,Pune,2023-02-12,20:22,20,12,2,2023,6,1,1,0,0.0,Cloudy,0.3,34.7,9.98,Urban,4,Dark - unlit,Wet,67.91,18.496334,73.783562,Urban,60,High
ACC000016,Indore,Indore,2022-11-01,02:51,2,1,11,2022,1,0,0,0,0.0,Fog,0.6,18.7,7.35,Urban,2,Dusk/Dawn,Dry,20.69,22.82128,75.965821,Urban,50,Medium
ACC000017,Kochi,Kochi,2022-04-30,09:39,9,30,4,2022,5,1,1,0,0.0,Cloudy,0.3,24.1,10.0,Highway,1,Daylight,Dry,78.95,9.995579,76.12962,Rural,40,High
ACC000018,Pune,Pune,2024-09-23,06:53,6,23,9,2024,0,0,0,0,0.0,Clear,0.1,33.2,9.4,Highway,1,Daylight,Muddy,29.44,18.384715,73.876511,Rural,50,Low
